PhilosopherID, Average Time (ns), Count, Total Time (ns)
0, 1190, 3666111, 4366033484
1, 1222, 3455640, 4225708241
2, 1043, 4086708, 4264885780
3, 1270, 3297304, 4188688683
4, 912, 4554257, 4154326390
5, 1025, 4103845, 4206716309
6, 781, 4993855, 3903130379
7, 893, 4553564, 4069961650
8, 918, 4212049, 3868618868
9, 945, 4439551, 4197230612
10, 1110, 3717801, 4127406970
11, 882, 4774022, 4211691353
12, 1082, 3845661, 4164277300
13, 909, 4418709, 4018186106
14, 970, 4120346, 3998654423
15, 1028, 4005412, 4121367101
16, 1020, 3797456, 3876642876
17, 1072, 3863539, 4144738152
18, 865, 4545636, 3934707969
19, 1015, 4020298, 4083478397
20, 974, 3947624, 3848058963
21, 878, 4381649, 3850094238
22, 1206, 3394851, 4094717595
23, 930, 4299286, 3998794660
24, 1289, 3079594, 3970700156
0, 927, 4523753, 4196081006
1, 1116, 3744205, 4179275230
2, 747, 5514145, 4120794311
3, 787, 5387028, 4240844578
4, 1284, 3134966, 4025928311
5, 965, 4415489, 4264208294
6, 1115, 3788530, 4226560081
7, 773, 5204540, 4023619017
8, 950, 4322469, 4108001582
9, 970, 4281734, 4156907788
10, 905, 4519028, 4090254972
11, 1095, 3746743, 4105654108
12, 1166, 3618736, 4222655459
13, 929, 4382256, 4072350366
14, 704, 5228542, 3681994446
15, 1159, 3324896, 3856784806
16, 747, 5307552, 3967593764
17, 1182, 3557289, 4205042053
18, 978, 4002991, 3917203435
19, 843, 4799270, 4048059989
20, 785, 4914276, 3859153578
21, 1334, 3015107, 4023661760
22, 926, 4315157, 3997668368
23, 1080, 3677118, 3972276077
24, 1115, 3554177, 3965789919
0, 657, 5920439, 3891132749
1, 913, 4600655, 4204968378
2, 1396, 2969829, 4148845067
3, 1066, 4063509, 4335653653
4, 707, 5664800, 4010145998
5, 1099, 3733653, 4104648941
6, 985, 4175233, 4113493846
7, 701, 5795438, 4067082041
8, 1029, 4177067, 4300977846
9, 743, 5236580, 3892048708
10, 674, 5852268, 3947549613
11, 824, 5022535, 4140933700
12, 1581, 2647552, 4186654803
13, 1191, 3629260, 4324561513
14, 1240, 3417175, 4239985757
15, 1322, 3020779, 3994008454
16, 736, 5699770, 4199634374
17, 1462, 2898793, 4240472509
18, 1055, 3653251, 3856528038
19, 1137, 3375819, 3839621396
20, 1182, 3491749, 4129732075
21, 1209, 3319559, 4013766187
22, 922, 4295356, 3961356078
23, 842, 4710032, 3966126779
24, 975, 4230484, 4128409222
