PhilosopherID, Average Time (ns), Count, Total Time (ns)
86, 1813, 2490676, 4517955514
87, 4061, 1062768, 4316909196
88, 4662, 999988, 4662177307
89, 4220, 1003420, 4234680190
90, 3626, 1255128, 4552154659
91, 2122, 2045394, 4342033849
92, 3461, 1159459, 4013368682
93, 2994, 1377459, 4125154108
94, 2374, 1867600, 4434893058
95, 3800, 1115011, 4238055454
96, 3873, 1051971, 4074655450
97, 3212, 1177677, 3783534189
98, 3372, 1200414, 4048454100
99, 2237, 1464621, 3276904153
0, 2544, 2146016, 5460461831
1, 2550, 2191538, 5589772411
2, 2169, 2539860, 5510086175
3, 3190, 1741658, 5556550846
4, 3073, 1903427, 5850655740
5, 2174, 2544927, 5534275821
6, 2993, 1867863, 5592326693
7, 2278, 2460552, 5607232817
8, 2454, 2229578, 5471576353
9, 3003, 1939526, 5825756581
10, 3439, 1652601, 5684372112
11, 2652, 2206417, 5852414962
12, 2517, 2175459, 5475770962
13, 2659, 2065716, 5493824705
14, 2982, 1898541, 5661987089
15, 2380, 2317672, 5516753430
16, 2857, 1946298, 5560676813
17, 3088, 1892622, 5845528911
18, 2649, 2089121, 5535596400
19, 2849, 2062282, 5876703390
20, 2782, 1890074, 5259820993
21, 2815, 1901453, 5353399213
22, 2224, 2364601, 5259466557
23, 2058, 2252217, 4636615365
24, 2824, 1957270, 5527640754
25, 3732, 1552312, 5793519571
26, 2670, 2083496, 5564508897
27, 2475, 1995574, 4940822358
28, 2907, 1789454, 5203145586
29, 2941, 1865589, 5488284118
30, 2286, 2141274, 4896155161
31, 2662, 1980210, 5272833203
32, 2526, 2133212, 5389310740
33, 2595, 1938729, 5031605122
34, 3158, 1732842, 5472698554
35, 2413, 2171529, 5241533784
36, 2570, 2044129, 5255147719
37, 2648, 1871766, 4957195164
38, 3404, 1595199, 5431345580
39, 2823, 1917592, 5414387981
40, 2775, 1882286, 5224995844
41, 3032, 1773568, 5378032738
42, 2630, 2010505, 5288939983
43, 3208, 1639727, 5261705686
44, 2876, 1693165, 4871189638
45, 2394, 2219274, 5314496690
46, 3162, 1650145, 5218271000
47, 2098, 2404844, 5047187265
48, 2815, 1732215, 4877395927
49, 2153, 2272700, 4894150341
50, 3044, 1770559, 5389587090
51, 2437, 2072456, 5052634686
52, 2656, 1861278, 4943555741
53, 2275, 2056770, 4680810342
54, 3144, 1576847, 4958277246
55, 4262, 1297892, 5531620624
56, 2856, 1823139, 5207584246
57, 3346, 1494657, 5001585024
58, 2148, 2146669, 4612040694
59, 5517, 984641, 5432577047
60, 1990, 2388104, 4753557499
61, 3628, 1448299, 5255727010
62, 2579, 1819540, 4693321592
63, 2415, 1915641, 4628125135
64, 2652, 1774358, 4706290574
65, 3622, 1430425, 5182000381
66, 2198, 2131580, 4686302099
67, 2486, 1882548, 4681581966
68, 3360, 1402698, 4713754809
69, 2820, 1683494, 4748983967
70, 3079, 1494835, 4602950295
71, 2910, 1552412, 4518134169
72, 4349, 1186460, 5160692845
73, 2506, 1761029, 4414561699
74, 3259, 1274157, 4153372754
75, 4998, 1003741, 5017112148
76, 2380, 1834224, 4365534512
77, 3338, 1367714, 4565712630
78, 2895, 1438427, 4165454302
79, 2455, 1759240, 4319723624
80, 3296, 1303520, 4297468529
81, 3506, 1278923, 4484960499
82, 2920, 1576275, 4603777531
83, 4540, 1015482, 4611041980
84, 2740, 1625122, 4453369068
85, 3032, 1487397, 4510988507
86, 2048, 2022559, 4142397951
87, 3348, 1339147, 4484757567
88, 2790, 1538843, 4294617197
89, 4786, 891987, 4269252797
90, 3735, 1205703, 4503400072
91, 2682, 1531227, 4107220798
92, 3305, 1266196, 4186006850
93, 3071, 1371017, 4211169834
94, 3127, 1275004, 3988098154
95, 5308, 817899, 4342085712
96, 2661, 1464105, 3897077708
97, 3578, 1141752, 4086122573
98, 3413, 1174417, 4008625280
99, 3507, 1129856, 3963264544
