PhilosopherID, Average Time (ns), Count, Total Time (ns)
0, 7308, 412939, 3017879793
1, 7362, 387704, 2854499356
2, 7500, 386950, 2902347904
3, 9218, 324879, 2994734832
4, 8554, 371795, 3180494013
5, 7476, 417560, 3121730292
6, 5425, 524091, 2843547123
7, 6585, 434762, 2863292286
8, 6624, 433656, 2872626740
9, 6508, 462782, 3011863895
10, 4939, 561311, 2772813283
11, 5891, 452239, 2664349550
12, 6993, 416747, 2914568929
13, 6787, 417671, 2834993137
14, 4837, 551027, 2665612761
15, 5564, 500688, 2786239394
16, 5272, 520453, 2744212063
17, 4981, 591164, 2944937401
18, 4221, 692556, 2923879128
19, 6763, 446160, 3017423689
20, 5933, 513447, 3046449709
21, 5700, 525554, 2995977155
22, 5704, 528381, 3014085393
23, 7427, 415603, 3086763980
24, 7180, 442011, 3173864407
