PhilosopherID, Average Time (ns), Count, Total Time (ns)
0, 1928, 2219970, 4281839957
1, 2008, 2159070, 4336877347
2, 2121, 2053863, 4357999458
3, 1983, 2156847, 4277220328
4, 1994, 2149380, 4286052834
5, 2054, 2101245, 4317296543
6, 1953, 2186864, 4271299245
7, 2004, 2153018, 4315271403
8, 1986, 2166061, 4301872171
9, 2046, 2092812, 4283628305
0, 2111, 2024856, 4274485960
1, 2028, 2102358, 4264658837
2, 2183, 1978773, 4321430687
3, 2110, 2023446, 4271358645
4, 2155, 1999876, 4311275001
5, 2234, 1930293, 4313294565
6, 2182, 1978358, 4317274983
7, 2168, 1993629, 4322387602
8, 2155, 2001105, 4312431368
9, 2139, 2005340, 4290783256
0, 1973, 2181794, 4306244329
1, 1967, 2183279, 4294768349
2, 2104, 2048693, 4312193487
3, 1987, 2183293, 4338700340
4, 1905, 2250552, 4289037430
5, 2026, 2126697, 4309107816
6, 1972, 2164758, 4269723446
7, 1978, 2149080, 4253021627
8, 1932, 2208700, 4269336653
9, 2028, 2121646, 4304156931
