PhilosopherID, Average Time (ns), Count, Total Time (ns)
0, 10632, 395967, 4210139897
1, 11241, 379650, 4267983370
2, 8716, 443971, 3869756496
3, 9427, 439320, 4141599940
4, 9583, 399193, 3825697604
5, 9693, 418802, 4059605268
6, 9584, 424252, 4066121712
7, 11434, 405179, 4632947319
8, 9989, 381118, 3807348725
9, 9971, 398268, 3971272114
10, 10579, 367301, 3885942413
11, 10546, 377846, 3985074519
12, 9491, 436071, 4139108968
13, 10525, 367905, 3872260820
14, 15148, 279255, 4230399116
15, 11463, 331273, 3797482748
16, 9385, 389544, 3656251216
17, 11116, 352318, 3916384487
18, 10271, 392552, 4031956839
19, 8570, 447033, 3831373551
20, 12303, 298299, 3670212381
21, 11333, 310756, 3521919181
22, 11271, 376472, 4243230640
23, 11620, 320245, 3721526331
24, 11688, 321490, 3757831517
25, 12733, 266624, 3394967980
26, 10988, 324320, 3563929919
27, 10029, 373279, 3743916783
28, 10216, 384163, 3924640118
29, 10696, 350590, 3750159934
30, 9990, 404071, 4036920458
31, 10631, 396699, 4217580799
32, 9339, 384658, 3592518877
33, 11728, 311969, 3658783894
34, 11834, 327690, 3877890391
35, 12052, 319846, 3854977008
36, 9689, 333704, 3233339014
37, 11730, 323289, 3792234428
38, 11891, 334873, 3982129823
39, 9423, 389036, 3666063308
40, 10332, 393404, 4065026530
41, 8655, 374131, 3238319076
42, 8658, 354833, 3072454316
43, 10937, 292430, 3198564300
44, 15176, 227816, 3457457885
45, 13145, 247238, 3249986886
46, 10090, 325164, 3281204836
47, 10353, 342949, 3550869610
48, 8862, 327362, 2901175664
49, 9458, 302118, 2857550733
50, 11435, 291473, 3333260212
51, 10150, 308487, 3131429613
52, 11093, 279093, 3096094977
53, 14503, 260246, 3774554725
54, 13057, 279524, 3649953931
55, 12395, 300234, 3721566520
56, 10430, 305762, 3189383798
57, 11675, 310490, 3624996081
58, 10865, 308667, 3353865510
59, 13268, 262146, 3478166329
60, 11084, 289198, 3205699393
61, 12009, 286521, 3440983104
62, 13303, 268968, 3578165147
63, 9131, 278019, 2538706053
64, 10490, 286695, 3007478953
65, 12646, 273906, 3463928805
66, 10295, 293693, 3023658092
67, 12067, 291419, 3516582975
68, 13799, 248675, 3431680495
69, 11098, 290803, 3227460533
70, 13378, 250977, 3357630947
71, 14692, 218449, 3209489263
72, 16301, 243863, 3975434090
73, 12855, 234589, 3015801540
74, 12024, 262721, 3159157124
75, 14613, 242665, 3546129269
76, 12036, 228328, 2748243638
77, 13587, 208335, 2830825972
78, 11210, 268842, 3013968667
79, 11626, 259239, 3014149591
80, 14376, 246703, 3546765508
81, 11523, 245930, 2833920228
82, 12804, 233907, 2994999458
83, 10535, 244062, 2571397053
84, 11125, 235143, 2616011354
85, 13817, 191266, 2642874256
86, 12681, 231113, 2930972121
87, 11595, 235391, 2729456254
88, 10670, 230746, 2462200694
89, 11025, 251433, 2772076781
90, 10372, 259287, 2689387675
91, 12702, 234644, 2980620325
92, 9993, 242242, 2420872637
93, 12254, 247002, 3026767703
94, 11336, 234353, 2656652097
95, 10839, 216215, 2343613217
96, 11812, 197078, 2327996870
97, 11099, 226539, 2514358535
98, 9273, 245357, 2275417141
99, 11426, 231695, 2647457958
0, 8794, 432404, 3802643058
1, 9499, 434162, 4124430288
2, 8482, 458548, 3889630030
3, 9732, 411129, 4001436371
4, 9346, 420474, 3929968434
5, 11283, 416385, 4698244575
6, 9236, 436101, 4027880941
7, 10697, 372845, 3988582996
8, 10179, 357484, 3639138920
