PhilosopherID, Average Time (ns), Count, Total Time (ns)
0, 1481, 2796722, 4143518161
1, 2631, 1547845, 4073888930
2, 1869, 2261645, 4227477479
3, 1535, 2669814, 4100389500
4, 3069, 1410450, 4329038728
5, 1252, 3184107, 3988623066
6, 2232, 1837485, 4103089331
7, 1443, 2971087, 4288928056
8, 1768, 2249512, 3977624906
9, 1414, 2935745, 4151159763
10, 1824, 2204131, 4020785387
11, 1746, 2240517, 3912904525
12, 1172, 3405635, 3994722908
13, 3142, 1311433, 4120939030
14, 1629, 2537572, 4135686575
15, 1916, 2083227, 3991743783
16, 1885, 2194849, 4138176767
17, 1749, 2329777, 4075267079
18, 2388, 1746418, 4171602729
19, 2379, 1693997, 4030407198
20, 1766, 2300072, 4062555309
21, 1790, 2245256, 4019140584
22, 1880, 2126157, 3998802205
23, 1745, 2297641, 4010495121
24, 2609, 1508595, 3937393143
