PhilosopherID, Average Time (ns), Count, Total Time (ns)
0, 625, 5880727, 3680338259
1, 608, 6033952, 3673164877
2, 527, 6343306, 3345227845
3, 474, 6815525, 3235443497
4, 493, 6710315, 3313430925
5, 567, 6032730, 3422139740
6, 618, 5614520, 3470174910
7, 563, 5856283, 3300655548
8, 488, 6395278, 3126951556
9, 513, 6345504, 3259374446
10, 538, 6508006, 3502458477
11, 498, 6283434, 3134321479
12, 524, 6095742, 3195659930
13, 517, 6286999, 3252351168
14, 574, 6017751, 3460192188
15, 503, 6072300, 3056087398
16, 591, 5628312, 3328382566
17, 597, 5798187, 3466199535
18, 586, 5850668, 3429662847
19, 505, 6235436, 3149240431
20, 614, 5670335, 3481715221
21, 584, 5719714, 3345417669
22, 511, 6193769, 3169159946
23, 548, 6003166, 3292133609
24, 311, 8110100, 2526790895
