PhilosopherID, Average Time (ns), Count, Total Time (ns)
0, 813, 6343081, 5160591735
1, 755, 6158368, 4650124603
2, 923, 5445074, 5027491388
3, 861, 5804439, 4999510944
4, 974, 5680816, 5537870905
5, 903, 6000483, 5419054138
6, 862, 6400436, 5522967949
7, 769, 6558247, 5049233442
8, 845, 5823633, 4921742650
9, 881, 5796100, 5111781785
10, 979, 5477130, 5366213695
11, 913, 5868630, 5360440086
12, 921, 5543629, 5107783491
13, 877, 5936443, 5206448518
14, 819, 5953721, 4876128027
15, 836, 6193707, 5182223599
16, 948, 5509476, 5223968147
17, 849, 5782115, 4909613319
18, 1001, 5706407, 5714618167
19, 943, 5460146, 5153686159
20, 900, 5811450, 5230446411
21, 853, 6108220, 5214570146
22, 900, 6126292, 5516288977
23, 784, 6512763, 5109808373
24, 866, 5679922, 4920717018
25, 1039, 5045057, 5245497099
26, 1087, 5256677, 5718013991
27, 1028, 5354961, 5505655408
28, 908, 5544559, 5037922598
29, 865, 5436525, 4707746077
30, 941, 5546590, 5223029516
31, 970, 5228567, 5075710844
32, 867, 5564071, 4829300124
33, 943, 5080689, 4795425974
34, 998, 5096787, 5090632389
35, 944, 5376289, 5076416679
36, 1013, 5176921, 5246533832
37, 875, 5548639, 4860286824
38, 1160, 4314619, 5005049455
39, 1069, 4882018, 5221506606
40, 1006, 5228779, 5260427465
41, 936, 5200924, 4868916335
42, 828, 5663028, 4690077332
43, 953, 5400836, 5151798539
44, 1002, 4941610, 4952462097
45, 882, 5319636, 4692562122
46, 789, 5607184, 4427152936
47, 886, 5395932, 4783203639
48, 953, 5185484, 4943648480
49, 897, 5070474, 4553061658
50, 923, 4893453, 4520579864
51, 1132, 4661424, 5277355356
52, 959, 4554317, 4371986895
53, 992, 4400667, 4368154012
54, 1006, 4585819, 4614328848
55, 908, 4743998, 4312064222
56, 915, 4826114, 4420313578
57, 884, 5251171, 4644442843
58, 1055, 4612310, 4866273091
59, 1012, 4685672, 4746108355
60, 1064, 4482447, 4771397469
61, 1011, 4815374, 4869249549
62, 954, 4709363, 4495455556
63, 1027, 4469357, 4590514414
64, 1121, 4194883, 4704500894
65, 984, 4399744, 4330478494
66, 1033, 4203654, 4342854495
67, 1063, 4250572, 4519609818
68, 1194, 4097099, 4892111025
69, 1055, 4168700, 4399844798
70, 1118, 4006023, 4480789698
71, 1128, 3782291, 4268364901
72, 1151, 3696893, 4255334252
73, 1132, 3875699, 4390564420
74, 1020, 4207422, 4292374001
75, 962, 4451965, 4285529814
76, 974, 4158886, 4052776300
77, 1051, 4115295, 4325553172
78, 1074, 3610170, 3877728190
79, 1213, 3614311, 4385391334
80, 1149, 3683022, 4232567386
81, 1025, 3956960, 4057689513
82, 1068, 4000187, 4274055874
83, 1085, 3997421, 4341124130
84, 993, 3865139, 3840715294
85, 941, 3964471, 3733090102
86, 986, 4077198, 4023132144
87, 931, 4211922, 3924357555
88, 945, 3905078, 3690927578
89, 967, 3777579, 3654568242
90, 1130, 3886427, 4394625715
91, 1038, 3700121, 3842087078
92, 1162, 3377210, 3927172138
93, 1118, 3271709, 3660799356
94, 1161, 3017469, 3503426933
95, 1163, 3036681, 3533684837
96, 1102, 3080813, 3396662946
97, 1196, 3121955, 3736419359
98, 1188, 3015814, 3582854492
99, 1178, 2896693, 3413238496
0, 894, 6518693, 5833539798
1, 805, 6711046, 5406572241
2, 885, 6452205, 5713034240
3, 851, 6803891, 5790980444
4, 923, 5941377, 5484823470
5, 809, 6119860, 4951431314
6, 837, 6395267, 5352945645
7, 804, 6364537, 5123072797
8, 926, 6212042, 5757046220
9, 883, 6346867, 5606739517
10, 904, 6134437, 5551405001
11, 839, 6408258, 5377207512
12, 900, 6584466, 5930047186
13, 759, 7183712, 5456091284
14, 906, 6224168, 5639507449
15, 912, 6159563, 5622424429
16, 851, 6453053, 5493549481
17, 724, 7098153, 5142867110
18, 933, 6034101, 5630625401
19, 951, 6253039, 5950983037
20, 923, 6280155, 5799944807
21, 845, 6675354, 5642873481
22, 785, 6302184, 4949773368
23, 810, 6495509, 5266350715
24, 946, 5725663, 5422152476
25, 910, 5747597, 5232954900
26, 945, 5328073, 5036601333
27, 878, 6045158, 5311576711
28, 969, 5810770, 5635258002
29, 931, 5717130, 5327239090
30, 1045, 5507713, 5756460168
31, 1005, 5457355, 5485019045
32, 821, 6091779, 5002490902
33, 893, 5686252, 5083042960
34, 874, 6105429, 5338994327
35, 855, 6191969, 5295707984
36, 830, 6255038, 5193473226
37, 886, 5936462, 5265453851
38, 805, 6052082, 4874477249
39, 892, 5669634, 5061401695
40, 941, 5577501, 5252017949
41, 830, 5713213, 4743337698
42, 1071, 5027190, 5388032190
43, 970, 5166431, 5014184046
44, 992, 5060194, 5021608197
45, 1159, 4706432, 5458941157
46, 1001, 5130557, 5136624844
47, 957, 5562820, 5327638146
48, 980, 5397608, 5292720159
49, 938, 5554795, 5215519097
50, 992, 5159210, 5121170908
51, 1053, 4921966, 5186916571
52, 1142, 4597758, 5252225348
53, 987, 4795883, 4734919221
54, 982, 5057326, 4969920851
55, 978, 5034299, 4927170685
56, 981, 4766517, 4676435439
57, 940, 4839931, 4554194677
58, 1038, 4728712, 4909889717
59, 996, 4433250, 4417107490
60, 1077, 4545514, 4895897338
61, 1008, 4818740, 4858856610
62, 980, 4942657, 4846814737
63, 1061, 4546440, 4825392526
64, 1067, 4440389, 4740162539
65, 1049, 4439108, 4657162397
66, 907, 4533615, 4114171447
67, 1082, 4397866, 4762108280
68, 951, 4556690, 4334219160
69, 1033, 4145661, 4282993137
70, 982, 4475898, 4399435016
71, 1007, 4498871, 4531145035
72, 921, 4657765, 4290188417
73, 1107, 4264591, 4723425201
74, 1114, 3945707, 4397564270
75, 950, 4060306, 3859474245
76, 1152, 4027762, 4643579458
77, 1029, 4181851, 4304017339
78, 1030, 3910005, 4029107988
79, 956, 4349382, 4159723072
80, 1132, 4118362, 4664711690
81, 1117, 4071464, 4551747040
82, 1256, 3711905, 4665352966
83, 1098, 4009427, 4404574711
84, 912, 4022731, 3670738731
85, 967, 4001101, 3872089696
86, 1041, 3836043, 3993777937
87, 975, 4264119, 4160753183
88, 879, 4617644, 4062249996
89, 830, 4281029, 3553824700
90, 930, 3936605, 3664403538
91, 1084, 3878031, 4207014953
92, 991, 3978026, 3944659226
93, 1044, 3720032, 3885010339
94, 907, 3771822, 3421940842
95, 1030, 3435018, 3540937783
96, 1171, 3159737, 3702936965
97, 1227, 3273505, 4019303019
98, 1145, 3231089, 3700883005
99, 1089, 3276427, 3568814729
0, 816, 6194205, 5055829104
1, 825, 6339548, 5233181981
2, 912, 5889378, 5376461432
3, 877, 5634141, 4945749347
4, 900, 6018054, 5419044519
5, 862, 6123824, 5279815080
6, 796, 6178831, 4918374585
7, 821, 6191747, 5088720074
8, 828, 6355154, 5263618487
9, 874, 6102460, 5335324328
10, 1050, 5472124, 5748163678
11, 929, 5897269, 5483337548
12, 820, 6373823, 5229884543
13, 897, 5637144, 5060989877
14, 934, 5805663, 5422751190
15, 910, 5675082, 5168846090
16, 884, 5788179, 5120497615
17, 926, 5781868, 5358771409
18, 917, 6040856, 5540663367
19, 904, 5842239, 5284359889
20, 932, 5752069, 5365971008
21, 925, 5703244, 5276862119
22, 916, 5713016, 5235986850
23, 1013, 5297927, 5368265244
24, 982, 5231175, 5140457644
25, 1003, 5476509, 5497153482
26, 962, 5638506, 5428895594
27, 855, 5804009, 4964603551
28, 878, 5619131, 4934787369
29, 897, 5684879, 5102746562
30, 811, 5864058, 4759784990
31, 862, 5841938, 5040427438
32, 834, 5580520, 4655469626
33, 854, 5607736, 4792343880
34, 968, 5013081, 4857601555
35, 941, 5202898, 4900097781
36, 934, 5248471, 4906263211
37, 893, 5672933, 5069136021
38, 938, 5473977, 5139333756
39, 964, 4981118, 4806362677
40, 971, 5129966, 4985145328
41, 997, 4981384, 4968537793
42, 961, 5166144, 4967645853
43, 1014, 4999421, 5072577069
44, 915, 5268709, 4824591865
45, 952, 5232630, 4984102222
46, 990, 4962653, 4916458373
47, 887, 5422346, 4811239598
48, 819, 5995862, 4914785863
49, 888, 5600156, 4976666137
50, 990, 5066387, 5020090607
51, 1044, 4697795, 4907867944
52, 1004, 4901303, 4924511651
53, 1007, 4732893, 4768715248
54, 971, 5010015, 4865977014
55, 1040, 4667306, 4855573124
56, 1263, 3854058, 4870451711
57, 1307, 3983779, 5209492435
58, 953, 4578267, 4363604992
59, 1022, 4707074, 4815305435
60, 938, 4976224, 4667757804
61, 937, 4914020, 4608548727
62, 838, 5186300, 4346455310
63, 1081, 4466497, 4831572396
64, 1010, 4498700, 4546380861
65, 1017, 4527865, 4605983909
66, 1169, 4032374, 4716682470
67, 1178, 4006104, 4721673455
68, 1142, 3836175, 4382358392
69, 1188, 3951064, 4694022722
70, 1070, 4149793, 4440966101
71, 1100, 3883785, 4274210896
72, 942, 4492513, 4234867282
73, 969, 4258058, 4129841095
74, 998, 4141857, 4135739364
75, 1057, 4235376, 4477286652
76, 901, 4333328, 3905467345
77, 972, 4199892, 4085509709
78, 1016, 4167738, 4236000011
79, 981, 4298574, 4220761802
80, 1030, 4046404, 4170496135
81, 1023, 4019476, 4113339282
82, 1088, 3649762, 3972570624
83, 1128, 3721538, 4201572346
84, 1033, 3894986, 4027185744
85, 1124, 3548811, 3989177389
86, 1139, 3565192, 4062549914
87, 1080, 3490971, 3772850936
88, 1225, 3350528, 4107650471
89, 1080, 3542336, 3829048749
90, 1022, 3744270, 3829834418
91, 1107, 3484915, 3861267321
92, 976, 3682487, 3595558752
93, 1064, 3603107, 3836298633
94, 964, 3882012, 3742912009
95, 1029, 3492451, 3597098543
96, 1046, 3776096, 3949857028
97, 1083, 3530313, 3824552029
98, 1163, 3394569, 3951263488
99, 1030, 3302330, 3404128476
